date,dewp,prcp,temp,temp_max,temp_min,wdsp
2022/10/1,15.34722222,15.748,16.53703704,19.19444444,14.07407407,15.03333333
2022/10/2,14.93055556,1.27,16.02777778,17.91666667,13.56481482,12.35
2022/7/1,21,0,26.92592593,33.59259259,20.59259259,7.316666667
2022/7/10,17.91666667,1.227666667,22.42592593,25.96296296,19.39814815,5.583333333
2022/7/11,15.375,0,21.81481482,26.96296296,15.86111111,3.783333333
2022/7/12,20.29166667,0.296333333,25.08333334,32.19444445,17.41666667,7.35
2022/7/13,20.375,0.296333333,25.17592593,30.10185185,20.68518519,4.983333333
2022/7/14,19.52777778,0,27.83333334,31.43518519,22.43518519,5.333333333
2022/7/15,19.72222222,0.296333333,25.2037037,30.52777778,21.24074074,4.066666667
2022/7/16,21.375,5.249333333,24.15740741,28.93518519,20.50925926,3.966666667
2022/7/17,21.875,1.524,24.48148148,29.09259259,20.52777778,3.05
2022/7/18,23.30555556,0,27.85185185,33.01851852,22.32407408,7.133333333
2022/7/19,21.27777778,2.921,26.89814815,32.35185185,23.34259259,5.55
2022/7/2,21.95833333,0.084666667,27.46296297,32.69444445,22.5462963,8.35
2022/7/20,21.30555556,0,27,31.38888889,23.37037037,4.166666667
2022/7/21,23.59722222,0,30.17592592,34.24074074,25.2037037,7.383333333
2022/7/22,21.47222223,2.667,28,33.91666667,23.2962963,5.3
2022/7/23,21.54166667,0,29.22222222,34.33333333,24.10185185,4.45
2022/7/24,21.69444445,0,28.95370371,35.03703704,22.90740741,4.55
2022/7/25,23.84722222,0,29.27777778,33.96296296,24.50925926,8.716666667
2022/7/26,21.54166667,0.127,24.82407408,30.47222222,23.20370371,5
2022/7/27,21.76388889,2.032,24.91666667,29,22.19444445,3.283333333
2022/7/28,23.27777778,0.338666667,27.68518519,32.74074074,23.35185185,5.05
2022/7/29,21.54166667,0.973666667,26.52777778,31.73148148,22.44444444,4.55
2022/7/3,21.06944444,9.017,25.14814815,30.59259259,22.12037037,5.183333333
2022/7/30,18.34722222,0.127,26.27777778,30.81481482,22.50925926,6.116666667
2022/7/31,18.68055555,0,25.43518519,30.86111111,20.5462963,3.983333333
2022/7/4,13.88888889,0.127,24.10185185,29.55555556,18.99074074,3.9
2022/7/5,18.30555556,4.614333333,23.93518518,30.36111111,18.87962963,6.233333333
2022/7/6,22.55555556,2.751666667,25.9537037,30.99074074,20.99074074,4.716666667
2022/7/7,22.06944445,6.477,24.01851852,27.71296296,21.36111111,6.333333333
2022/7/8,20.54166667,0.042333333,23.57407408,28.37962963,19.56481482,4.316666667
2022/7/9,21.13888889,1.989666667,22.78703704,27.31481482,19.93518519,4.866666667
2022/8/1,20.86111111,2.413,24.5,29.80555556,21.06481482,4.416666667
2022/8/10,23.34722222,5.08,28.01851852,33.75,24.25925926,4.1
2022/8/11,21.76388889,3.259666667,25.75925926,31.59259259,22.85185185,5.083333333
2022/8/12,16.16666667,0.804333333,24.78703704,29.36111111,21.35185185,5.866666667
2022/8/13,11.75,0,22.46296296,27.97222222,17.07407407,6.333333333
2022/8/14,14.31944444,0,22.10185185,27.57407407,16.98148148,4.233333333
2022/8/15,15.55555556,0.042333333,22.35185185,26.86111111,18.38888889,5.1
2022/8/16,15.75,0,22.27777778,26.28703704,17.51851852,7
2022/8/17,15.625,0,21.88888889,26.60185185,17.44444444,4.883333333
2022/8/18,15.54166667,1.185333333,22.42592593,28.90740741,16.60185185,3.85
2022/8/19,18.26388889,0,24.55555556,30.25925926,17.78703704,4.883333333
2022/8/2,21.19444444,0.804333333,26.62962963,32.72222222,21.5,4.533333333
2022/8/20,18.54166667,0,25.35185185,30.2037037,19.68518519,4.683333333
2022/8/21,20.93055556,0,23.85185185,29.21296296,19.84259259,4.333333333
2022/8/22,22.73611111,4.445,24.90740741,28.94444445,21.15740741,4.266666667
2022/8/23,20.45833333,1.439333333,24.82407408,29.75,21.05555556,4.066666667
2022/8/24,18.09722222,0,25.44444445,30.68518519,19.94444445,3.95
2022/8/25,18.08333334,0,25.48148148,31.68518519,19.90740741,3.266666667
2022/8/26,20.69444445,0,27.08333333,32.72222222,20.93518519,5.95
2022/8/27,20.54166667,0,26.19444445,32,21.90740741,4.4
2022/8/28,22.40277778,0,25.42592593,30.67592593,21.50925926,4.916666667
2022/8/29,22.48611111,0.042333333,25.92592593,30.49074074,21.73148148,5.166666667
2022/8/3,19.38888889,0.169333333,27.02777778,32.11111111,21.75925926,4.183333333
2022/8/30,22.98611111,0.211666667,26.58333333,32.33333333,22.55555556,6.266666667
2022/8/31,18.375,0.423333333,24.81481481,31.01851852,20.92592593,6.9
2022/8/4,22.09722223,0,28.22222222,34.65740741,21.91666667,4.7
2022/8/5,22.27777778,7.831666667,25.26851852,32.46296296,21.87037037,4.466666667
2022/8/6,22.44444444,4.2164,26.12962963,31.75925926,22.07407407,5.466666667
2022/8/7,23.04166667,0,28.18518518,32.78703704,23.37037037,7.366666667
2022/8/8,23.68055556,0,28.72222222,33.5462963,24.55555556,7.433333333
2022/8/9,23.875,0,29.99074074,35.06481482,25.41666667,7.066666667
2022/9/1,14.5,0,24.00925926,30.42592593,17.87037037,5.016666667
2022/9/10,16.68518518,0,21.55555555,26.56666667,16.34444444,4.82
2022/9/11,20.85185185,1.1176,22.85555556,26.13333333,17.7,4.98
2022/9/12,23.08333333,6.096,24.91666667,28.27777778,22.5462963,4.033333333
2022/9/13,19.72222223,4.572,24.21296297,28.26851852,21.62962963,5.183333333
2022/9/14,13.54166667,2.074333333,21.49074074,27.15740741,16.23148148,5.933333333
2022/9/15,13.875,0,20.93518519,25.49074074,16.94444445,5.533333333
2022/9/16,11.36111111,0,18.90740741,25.12037037,12.38888889,2.866666667
2022/9/17,14.61111111,0,20.27777778,26.61111111,13.31481482,3.466666667
2022/9/18,15.86111111,0,21.99074074,28.57407408,15.33333333,4.433333333
2022/9/19,17.83333334,0,23.75925926,30.2037037,17.7962963,5.066666667
2022/9/2,15.05555556,0,23.26851852,29.25925926,18.2962963,6.066666667
2022/9/20,16.06944445,0,23.37037037,28.61111111,19.25,6.25
2022/9/21,15.31944445,0,21.49074074,27.37962963,15.60185185,3.383333333
2022/9/22,17.72222222,1.016,22.37962963,28.51851852,16.96296296,7.216666667
2022/9/23,4.777777778,1.016,15.68518519,21.09259259,11.99074074,12.7
2022/9/24,4.736111111,0,14.33333333,21.07407407,7.953703703,6.266666667
